File ID,Rep ID,Spp,Orig Temp,Treatment ,,Timepoint,Cell count,Dilution ,Actual Cell count,,,,,,Cell,,,,
PcD_Recip_T9_120222,R3,PcD,23c,recip,27,T9,"61,214",10,612140,,,,,,B03,,,,
PcD_Recip_T9_120222,R4,PcD,23c,recip,27,T9,"70,306",10,703060,,,,,,B04,,,,
PcD_Recip_T9_120222,R5,PcD,23c,recip,27,T9,"69,672",10,696720,,,,,,B05,,,,
PcD_Recip_T9_120222,R6,PcD,23c,recip,27,T9,"30,837",1,30837,,,,,,B06,,,,
PcD_Recip_T9_120222,R1,PcD,27c,recip,23,T9,"7,902",1,7902,,,,,,B07,,,,
PcD_Recip_T9_120222,R2,PcD,27c,recip,23,T9,"13,809",1,13809,,,,,,B08,,,,
PcD_Recip_T9_120222,R3,PcD,27c,recip,23,T9,"16,256",1,16256,,,,,,B09,,,,
PcD_Recip_T9_120222,R4,PcD,27c,recip,23,T9,"12,923",1,12923,,,,,,B10,,,,
PcD_Recip_T9_120222,R5,PcD,27c,recip,23,T9,"15,933",1,15933,,,,,,B11,,,,
PcD_Recip_T9_120222,R6,PcD,27c,recip,23,T9,"23,993",1,23993,,,,,,B12,,,,
PcD_Recip_T10_130222,R1,PcD,23c,Control,,T10,na,1,#VALUE!,,,,,,A01,,,,
PcD_Recip_T10_130222,R2,PcD,23c,Control,,T10,na,1,#VALUE!,,,,,,A02,,,,
PcD_Recip_T10_130222,R3,PcD,23c,Control,,T10,na,1,#VALUE!,,,,,,A03,,,,
PcD_Recip_T10_130222,R4,PcD,23c,Control,,T10,na,1,#VALUE!,,,,,,A04,,,,
PcD_Recip_T10_130222,R5,PcD,23c,Control,,T10,na,1,#VALUE!,,,,,,A05,,,,
PcD_Recip_T10_130222,R6,PcD,23c,Control,,T10,na,1,#VALUE!,,,,,,A06,,,,
PcD_Recip_T10_130222,R1,PcD,27c,Control,,T10,na,1,#VALUE!,,,,,,A07,,,,
PcD_Recip_T10_130222,R2,PcD,27c,Control,,T10,na,1,#VALUE!,,,,,,A08,,,,
PcD_Recip_T10_130222,R3,PcD,27c,Control,,T10,na,1,#VALUE!,,,,,,A09,,,,
PcD_Recip_T10_130222,R4,PcD,27c,Control,,T10,na,1,#VALUE!,,,,,,A10,,,,
PcD_Recip_T10_130222,R5,PcD,27c,Control,,T10,na,1,#VALUE!,,,,,,A11,,,,
PcD_Recip_T10_130222,R6,PcD,27c,Control,,T10,na,1,#VALUE!,,,,,,A12,,,,
PcD_Recip_T10_130222,R1,PcD,23c,recip,27,T10,na,1,#VALUE!,,,,,,B01,,,,
PcD_Recip_T10_130222,R2,PcD,23c,recip,27,T10,na,1,#VALUE!,,,,,,B02,,,,
PcD_Recip_T10_130222,R3,PcD,23c,recip,27,T10,na,1,#VALUE!,,,,,,B03,,,,
